City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,sarupathar,26.206,96.81,79.09,93,93,1.45,MM,1722913470
324,kargat,55.1956,80.2811,66.96,79,26,8.3,RU,1722913471
325,abdanan,32.9926,47.4198,83.25,19,0,3.53,IR,1722913471
326,saratamata,-15.2903,167.9668,75.87,69,98,18.61,VU,1722913471
327,nizhnevartovsk,60.9344,76.5531,53.62,100,100,6.71,RU,1722913472
328,doctor arroyo,23.6721,-100.1813,72.09,61,42,5.48,MX,1722913472
329,greenville,5.0113,-9.0388,76.23,84,89,8.34,LR,1722913473
330,la'ie,21.6455,-157.9225,87.75,71,32,5.99,US,1722913473
331,colonia,9.5164,138.1217,88.12,79,75,4.61,FM,1722913474
332,meadow lake,54.1335,-108.4347,55.6,89,100,3.94,CA,1722913474
333,kodinsk,58.6063,99.174,72.64,48,41,5.75,RU,1722913475
334,inarajan village,13.2736,144.7485,87.94,91,100,4.25,GU,1722913475
335,governor's harbour,25.1667,-76.2333,83.79,75,79,13.78,BS,1722913475
336,bisert',56.8617,59.0523,58.32,95,100,5.26,RU,1722913476
337,hafnarfjordur,64.0671,-21.9377,50.38,100,100,4.61,IS,1722913476
338,alcala de xivert,40.3,0.2333,75.29,83,1,4.68,ES,1722913477
339,pirallahi,40.4701,50.3248,80.74,67,48,4.54,AZ,1722913477
340,tselinnoye,54.5011,63.6736,65.68,86,85,8.81,RU,1722913477
341,oroso,42.9833,-8.4333,67.35,88,75,5.75,ES,1722913478
342,ola,59.5782,151.2982,57.7,73,100,8.52,RU,1722913478
343,griffith,-34.2885,146.0509,58.75,51,10,6.26,AU,1722913479
344,mahdia,5.2667,-59.15,75.02,87,78,0.78,GY,1722913479
345,zouerate,22.7354,-12.4713,80.73,34,2,14.9,MR,1722913480
346,namtsy,62.7196,129.6672,61.25,58,99,5.59,RU,1722913480
347,dame-marie,18.5611,-74.4217,81.91,87,2,6.02,HT,1722913480
348,savonlinna,61.8699,28.88,55.45,88,100,5.75,FI,1722913481
349,goroka,-6.085,145.3867,74.3,68,55,5.39,PG,1722913481
350,qaqortoq,60.7184,-46.0356,46.92,89,100,3.11,GL,1722913482
351,mount pearl,47.5166,-52.7814,67.96,96,100,18.41,CA,1722913482
